PID,POSTTIME,CITY,STATE,MAKE,MODEL,PRICE,YEAR,MILES,URL,TITLE,ATTR,IMGLINK,MESSAGE,PRICEPRED
6224152589,2017-07-23 09:43,seattle,WA,jeep,wrangler,11500,2003,152800,https://seattle.craigslist.org/see/cto/d/jeep-wrangler-re-geared/6224152589.html,03 jeep wrangler (re-geared),VIN: 1J4FA39S63P361929#condition: excellent#cylinders: 6 cylinders#drive: 4wd#fuel: gas#odometer: 152800#paint color: white#size: compact#title status: clean#transmission: automatic#type: convertible,https://images.craigslist.org/00L0L_4sG9CMSds8g_600x450.jpg,open to reasonable negotiations.#i have all the paperwork for the work done on this vehicle and all work was done at local ase certified shops. all regular maintenance done by firestone.#heavy duty transmission rebuilt at an ase certified shop in marysville @ 147;000 miles#new fan clutch @ 147;000 miles#new torque converter @ 147;000 miles#re-geared to 4:88 at 148;000 miles#jeep wrangler 4.0 liter model x#automatic#straight 6#4 wheel drive#has 150;270 miles#new radiator and fan#bowlees soft top#ac blows cold air#interior is in good condition#inside floors are rhino lined#slip yoke eliminator#free and clear title#4 inch lift#mid body skid plate#winch#pioneer stereo with remote control.#after market speakers#front hood mount for a hi-lift jack (hi-lift jack itself is not included but i will sell separately if interested)#privacy tint on all windows#new soft top with a 3 year warranty for any damage from 4wheel parts (bought in 2015)#tires bought new at 136;000 miles. tire size 315/70r17 with lifetime wheel alignment and balance.#lifetime vehicle alignment from firestone#vehicle was always on a battery tender during the winter.#ignition switch changed at 141;500 miles#new breaks serviced at 142;500 miles#heavy duty transmission rebuilt at an ase certified shop in marysville @ 147;000 miles#new fan clutch @ 147;000 miles#new torque converter @ 147;000 miles#re-geared to 4:88 at 148;000 miles#oil changed at 150;005 miles#after market bumpers (front and back)#read mount tire rack off the rear bumper#aftermarket tow package#after market 17 rims#new spark plugs#new headlamps#new fog lights#new search lights#new tie rod end#cb radio and antennae#new ball joints#new crankshaft seal#new tail light bulbs#new windshield wipers#new rear differential seal#open to reasonable offers.,10194.6562726
6222704193,2017-07-16 17:17,seattle,WA,jeep,wrangler,16000,2012,105000,https://seattle.craigslist.org/est/cto/d/jeep-wrangler-sport-dr/6222704193.html,2012 jeep wrangler sport 2 dr,condition: good#cylinders: 6 cylinders#drive: 4wd#fuel: gas#odometer: 105000#paint color: green#title status: clean#transmission: manual,https://images.craigslist.org/00J0J_lJcJmgujmLt_600x450.jpg,one owner; v6; 4x4; manual; good tires; clean; 105k miles;,20625.8786363
6200326864,2017-07-16 11:58,seattle,WA,jeep,wrangler,9500,2001,143000,https://seattle.craigslist.org/oly/cto/d/jeep-wrangler/6200326864.html,2001 jeep wrangler,fuel: gas#odometer: 143000#title status: clean#transmission: automatic,https://images.craigslist.org/00I0I_2SGQsoS6IoD_600x450.jpg,2001 jeep new transmission and tires 33 tires 4 lift rums good make offer no low ballers you can text me#show contact info,10522.1703082
6225546992,2017-07-21 12:01,seattle,WA,jeep,wrangler,15000,2007,180000,https://seattle.craigslist.org/see/cto/d/jeep-wrangler-rubicon/6225546992.html,2007 jeep wrangler rubicon unlimited,condition: excellent#cylinders: 6 cylinders#drive: 4wd#fuel: gas#odometer: 180000#paint color: silver#title status: clean#transmission: automatic#type: SUV,https://images.craigslist.org/00m0m_3jGIKhAp31R_600x450.jpg,this is a one owner jeep. i purchased it new from bellevue jeep. it came from the factory with every available option except the mygig radio/ gps.#i purchased it when i lived in snoqualmie thinking i would take it up into the mountains; hence the mile marker winch but alas we moved to edmomds and it became my commuter car.#no accidents; non smoker; no pets. just a really nice jeep with 180k miles on the freeway. all services were done at the proper intervials. new tires with less than 1000 miles on them as well as rims off a 2016 rubicon.#the only issues with the jeep are: 1. my wife tried to park it in the garage when new and pushed the thule rack off of its rails and the scratched the hard top. (see photos) 2. i had to disconnect the sway bar as it got water in it and kept tripping the check engine light. now the sway bar light flashes but since i was not using it off road it did not matter to me. 3. there was a rip in the drivers seat which i repaired; not the best job but it works (see photo).#please let me know if you have any questions.#i would also be interested in a partial trade for a; sigh; commuter car. i could use something that could get me around town with a bit better gas mileage so if you have a prius that your just not in to give me a call.,14973.5875823
6187998399,2017-07-08 11:35,seattle,WA,jeep,wrangler,15000,2004,79000,https://seattle.craigslist.org/sno/cto/d/jeep-wrangler-sport-tj-miles/6187998399.html,jeep wrangler 2004 sport tj 79k miles,condition: excellent#cylinders: 6 cylinders#drive: 4wd#fuel: gas#odometer: 79000#paint color: blue#title status: clean#transmission: automatic,https://images.craigslist.org/00101_kMTAVYFrMks_600x450.jpg,my wife surprised me on fathers day and now we are expecting our second kiddo. this is our 3rd vehicle; our weekend warrior; and im sad to see it go but as our family continues to get bigger we have decided to get rid of a few extra toys.#2004 jeep wrangler sport tj with only 79;xxx miles.#4.0l (6  cylinder)#dana 44#16 moto metal wheels (matching spare)#33 dick cepek tires (need replacing soon)#hardtop with yakima roof system#trailer hitch and its wired for lights#oem soundbar on rollcage#the interior is perfect for its age; no cracks; no tears; all original carpet with weather floor mats. solid 9/10 condition.#the body is straight without any rust! never been in any accidents; the jeep has been in wa for almost 6 years now.#the paint is in great condition with minor sufface scratches that could probably be buffed out. 8/10#motor and auto transmission are sound. idles right; pulled us up a mountain last weekend for a camping trip. air conditioning blows very cold air.#shifts into 4h and 4l without any issues. 9/10#all original glass; front windshield has a chip thats been filled with resin.#everything on the jeep is oem except for the wheels/tires.#this jeep is the one youve been searching for; the unicorn. overall its a 9/10 condition.#do not make any offers to me unless youve seen the jeep in person.#cash only. please no scams or joyrides. if youre 16 and show up you probably wont be driving the jeep... unless you show me a bank reciept or a trust fund your parents left you for my asking price.#just dropped the price a bit#07/08/2017,15066.8925324
6183712353,2017-07-10 11:00,seattle,WA,jeep,wrangler,7500,2000,160000,https://seattle.craigslist.org/tac/cto/d/jeep-wrangler-tj/6183712353.html,2000 jeep wrangler tj,condition: good#cylinders: 6 cylinders#drive: 4wd#fuel: gas#odometer: 160000#paint color: red#title status: clean#transmission: automatic,https://images.craigslist.org/00d0d_2D1YKoYTtjn_600x450.jpg,2000 wrangler#160k miles#75% toyo mt 33x12.5#3 inch lift.#new lower ball joints#50 inch light#brand new rampage soft top.#halo led headlights.#always maintained and regular oil changes.#the heater is on full or not at#little tear in driver seat#needs stearing box#very capable jeep does great in snow#4.0 inline 6 will run for another 150k miles#automatic for easy jeeping or traffic driving.#asking 7500 obo.#great jeep; no trades.#please text call or email.,8741.71849102
6230052777,2017-07-21 15:18,seattle,WA,jeep,wrangler,9200,2000,81103,https://seattle.craigslist.org/tac/cto/d/jeep-wrangler-sport/6230052777.html,2000 jeep wrangler sport 4x4,condition: excellent#cylinders: 6 cylinders#drive: 4wd#fuel: gas#odometer: 81103#paint color: yellow#title status: clean#transmission: manual,https://images.craigslist.org/00s0s_ltc4w2DyOpS_600x450.jpg,2000 jeep wrangler sport 4x4#mileage: 81;103#enigne: 4.0 liter 6 cylinder#transmission: manual 5 speed hd#tires: bfg all terrain t/a 31x10.5r15 lt#comes with trailer hitch; a/c;  removable black hardtop; cloth seats.#fun to drive; just no time to drive it. excellent shape; no mechanical issues. body shows chips and some paint fade. crack on passenger side windshield. this vehicle has not been abused.,11123.1674541
6203213257,2017-07-22 17:17,seattle,WA,jeep,wrangler,8500,2002,145000,https://seattle.craigslist.org/sno/cto/d/jeep-wrangler-sportsale/6203213257.html,2002 jeep wrangler sportsale pending,fuel: gas#odometer: 145000#title status: clean#transmission: manual,https://images.craigslist.org/00t0t_khlvhllxXN3_600x450.jpg,great jeep; just doesnt work well with 2 car seats...#4.0l 6 cyl; 5 speed; 145k miles; 2lift thats pretty flexy; dana 44s; hard top; bikini top; tow package; sound bar; ipod and android hook ups; new tires and windshield; runs and drives great; open to trade / trades for a 4x4 5 seater truck; suv; or nice sedan; please be reasonable with your offers; if its a less valuable offer; be willing to add cash; or items to equal out the difference; thanks for checking out the ad!,7674.44795484
6199997499,2017-07-21 11:46,seattle,WA,jeep,wrangler,8000,2001,214000,https://seattle.craigslist.org/oly/cto/d/jeep-wrangler-sahara-tj/6199997499.html,2001 jeep wrangler sahara tj 4x4,condition: good#cylinders: 6 cylinders#drive: 4wd#fuel: gas#odometer: 214000#paint color: green#title status: clean#transmission: automatic,https://images.craigslist.org/00U0U_eJ2ElTGNAoa_600x450.jpg,2001 jeep wrangler sahara tj 4x4#all stock except for the pioneer bluetooth cd player#4.0l inline 6 runs like new#automatic transmission shifts perfect#hardtop with no leaks#31x10.5 bfg t/a ko2 tires with 6000 miles#newer: coil pack; battery; alternator; water pump and front brakes including rotors; pads and calipers.#clean title in hand#this is a great running and driving jeep. i am only getting rid of it because i bought a truck and have too many vehicles. no trades. no paypal.#please text:#show contact info,8668.19575411
6182126714,2017-07-16 22:12,seattle,WA,jeep,wrangler,8900,1995,134941,https://seattle.craigslist.org/tac/cto/d/jeep-wrangler-yj/6182126714.html,1995 95 jeep wrangler yj,condition: good#cylinders: 6 cylinders#drive: 4wd#fuel: gas#odometer: 134941#paint color: black#size: full-size#title status: clean#transmission: manual#type: offroad,https://images.craigslist.org/00Z0Z_8uGjOlLCWAy_600x450.jpg,1995 jeep wrangler. 134;941 miles. spring over axle; amc 20 rear with detroit locker and one piece shafts; front is high pinion dana 44 high steer and detroit locker; 4.56 gears. slip yoke eliminator. stock 4.0 in line 6 and ax15 manual trans. black led taillights. kc lights; cb and pa. 8k lb champion winch. 36x15.5x15 and aluminium wheels. 7 in wide tj fender  flares.,10242.7482693
